8940 errors
1113 warnings

Errors and warnings:

Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	268	Active
Error	CS0246	The type or namespace name 'ExternalResourceLoadContext' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	268	Active
Error	CS0246	The type or namespace name 'ExternalResourceLoadContent' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	268	Active
Error	CS0246	The type or namespace name 'ResourceVersionStatus' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	310	Active
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	310	Active
Error	CS0246	The type or namespace name 'ExternalResourceServerExtensions' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	330	Active
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	395	Active
Error	CS0246	The type or namespace name 'ExternalResourceBrowserData' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	418	Active
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	490	Active
Error	CS0246	The type or namespace name 'ExternalResourceBrowserData' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	511	Active
